Table: Table_1

,,Audited outcome ,,Adjusted appropriation ,Average growth rate (%) ,Average: Expen- diture/ Total (%) ,Medium-term ,expenditure estimate ,,Average growth rate (%) ,Average: Expen- diture/ Total (%) ,
R thousand ,2015/16 ,2016/17 ,2017/18 ,2018/19 ,2015/16 ,2018/19 ,2019/20 ,2020/21 ,2021/22 ,2018/19 ,2021/22 ,
Inventory: Fuel, oil and gas ,2040 ,943 ,2 068 ,2 598 ,8.4% ,0.1% ,3 835 ,3 982 ,4 201 ,17.4% ,0.1% ,
Inventory: Learner and teacher ,- ,2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
support material ,,,,,,,,,,,,
Inventory: Materials and supplies ,131 ,756 ,- ,53231 ,640.7% ,0.8% ,2 865 ,1749 ,1 846 ,-67.4% ,0.6% ,
Inventory: Medical supplies ,77 538 ,132 453 ,83 160 ,148 788 ,24.3% ,6.7% ,152 727 ,157 788 ,169622 ,4.5% ,5.9% ,
Inventory: Medicine ,98 338 ,119 822 ,86 407 ,32 273 ,-31.0% ,5.1% ,2 454 ,2 593 ,2 789 ,-55.8% ,0.4% ,
Inventory: Other supplies ,11 994 ,9 238 ,9 433 ,13 655 ,4.4% ,0.7% ,10 172 ,13 983 ,14 752 ,2.6% ,0.5% ,
Consumable supplies ,3007 ,840 ,2 208 ,1 675 ,-17.7% ,0.1% ,2 242 ,2 760 ,2 914 ,20.3% ,0.1% ,
Consumables: Stationery, ,20196 ,17 408 ,15 164 ,30 933 ,15.3% ,1.3% ,32 442 ,35 634 ,37 778 ,6.9% ,1.3% ,
printing and office supplies ,,,,,,,,,,,,
Operating leases ,131 666 ,134 885 ,134 095 ,139 529 ,2.0% ,8.2% ,181 373 ,191 268 ,201 716 ,13.1% ,6.7% ,
Rental and hiring ,98 ,298 ,176 ,600 ,82.9% ,- ,767 ,893 ,942 ,16.2% ,- ,
Property payments ,23 661 ,17 076 ,28 965 ,25 432 ,2.4% ,1.4% ,18 464 ,19 317 ,20 231 ,-7.3% ,0.8% ,
Travel and subsistence ,92 748 ,92 668 ,90 385 ,84 677 ,-3.0% ,5.5% ,117956 ,123 857 ,128 322 ,14.9% ,4.3% ,
Training and development ,4 546 ,5 082 ,5 487 ,18 538 ,59.8% ,0.5% ,26 266 ,26 003 ,27 043 ,13.4% ,0.9% ,
Operating payments ,50 972 ,66 825 ,83 573 ,75 288 ,13.9% ,4.2% ,74 279 ,74 542 ,78 852 ,1.6% ,2.9% ,
Venues and facilities ,19 410 ,16 534 ,10 527 ,14 677 ,-8.9% ,0.9% ,25 079 ,24 858 ,22 251 ,14.9% ,0.8% ,
Total ,1 183 894 ,1 397 470 ,1 625 578 ,2 394 014 ,26.5% ,100.0% ,2 409 279 ,2 772 990 ,3 040 392 ,8.3% ,100.0% ,





